date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:10	448/448	---M--	200	added ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://eliasantoun2005.wixsite.com/robots.txt		(from )
20:44:10	815658/815658	---MCZ	200	added ('OK')	text/html	etag:W/%224c154767727375ea483e76cfb40c9ed1%22	https://eliasantoun2005.wixsite.com/terroirs-de-l	D:/terroir/eliasantoun2005.wixsite.com/terroirs-de-l.html	(from )
20:44:10	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/terroir/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://eliasantoun2005.wixsite.com/terroirs-de-l)
20:44:11	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/terroir/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://eliasantoun2005.wixsite.com/terroirs-de-l)
20:44:11	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Jun%202024%2018:44:10%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/terroir/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://eliasantoun2005.wixsite.com/terroirs-de-l)
20:44:11	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2018:44:11%20GMT	https://eliasantoun2005.wixsite.com/location.href	D:/terroir/eliasantoun2005.wixsite.com/location.4.delayed	(from https://eliasantoun2005.wixsite.com/terroirs-de-l)
20:44:12	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2018:44:11%20GMT	https://eliasantoun2005.wixsite.com/	D:/terroir/eliasantoun2005.wixsite.com/index.html	(from https://eliasantoun2005.wixsite.com/terroirs-de-l)
20:44:13	521692/521692	---MCZ	200	added ('OK')	text/html	etag:W/%225cfb025a83364e7004526002c2f7e4e5%22	https://eliasantoun2005.wixsite.com/terroirs-de-l/notre-catalogue	D:/terroir/eliasantoun2005.wixsite.com/terroirs-de-l/notre-catalogue.html	(from https://eliasantoun2005.wixsite.com/terroirs-de-l)
20:44:15	789520/789520	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2018:44:14%20GMT	https://eliasantoun2005.wixsite.com/terroirs-de-l/category/all-products	D:/terroir/eliasantoun2005.wixsite.com/terroirs-de-l/category/all-products.html	(from https://eliasantoun2005.wixsite.com/terroirs-de-l)
20:44:17	849277/849277	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2018:44:16%20GMT	https://eliasantoun2005.wixsite.com/terroirs-de-l/cart-page	D:/terroir/eliasantoun2005.wixsite.com/terroirs-de-l/cart-page.html	(from https://eliasantoun2005.wixsite.com/terroirs-de-l)
